Name;m_Name;Vmag;Bmag;B-V;X;Y
4462;a;18.28;18.90; 0.62;-228;  27
4465;a;19.64;20.11; 0.47; 265;  27
4476; ;19.87;20.30; 0.43; 238;  27
4478; ;18.78;19.24; 0.46; 292;  27
4479; ;20.48;21.02; 0.54; 357;  27
4484; ;20.44;20.98; 0.55; 286;  27
4486; ;19.35;19.76; 0.41; 322;  27
4488; ;19.48;19.92; 0.43; 353;  27
4419;a;20.29;20.81; 0.52;-304;  26
4455; ;20.26;20.80; 0.54;-262;  26
4459; ;21.17;21.72; 0.55;-329;  26
4479;a;20.72;21.14; 0.42; 357;  26
4485; ;20.61;21.18; 0.57; 233;  26
4493; ;18.98;19.37; 0.39; 280;  26
4452;a;20.17;20.67; 0.50;-279;  25
4466; ;19.52;19.91; 0.39;-301;  25
4475; ;20.91;21.52; 0.60;-209;  25
4498; ;19.81;20.23; 0.42; 326;  25
4503; ;19.57;20.03; 0.46; 317;  25
4462; ;20.97;21.62; 0.65;-230;  25
4463; ;19.84;20.31; 0.47;-216;  25
4463;a;21.24;21.93; 0.69;-214;  25
4501; ;21.29;22.08; 0.80; 262;  25
4471; ;20.17;20.69; 0.52;-334;  24
4472; ;18.45;18.90; 0.45;-310;  24
4473; ;21.27;22.08; 0.81;-296;  24
4474; ;19.61;20.00; 0.39;-276;  24
4475;a;20.25;20.68; 0.44;-207;  24
4480; ;20.53;21.20; 0.67;-242;  24
4481; ;20.72;21.30; 0.58;-218;  24
4506; ;18.97;19.42; 0.45; 218;  24
4514; ;19.87;20.34; 0.47; 232;  24
4520; ;20.68;21.25; 0.57; 357;  24
4511; ;20.65;21.25; 0.60; 294;  24
4480;a;20.71;21.18; 0.47;-241;  23
4487; ;18.17;18.80; 0.63;-317;  23
4501;b;19.61;20.02; 0.41; 260;  23
4526; ;19.49;19.96; 0.47; 239;  23
4492; ;21.13;21.66; 0.53;-233;  23
4501;a;21.08;21.75; 0.67; 264;  23
4516; ;20.11;20.68; 0.56; 301;  23
4492;a;20.03;20.55; 0.52;-234;  22
4499; ;18.36;18.91; 0.55;-343;  22
4526;a;19.90;20.33; 0.43; 238;  22
4542; ;18.97;19.34; 0.37; 242;  22
4544; ;19.85;20.30; 0.45; 329;  22
4545; ;19.41;19.81; 0.40; 355;  22
4528;a;19.72;20.19; 0.48; 269;  22
4504; ;19.33;19.76; 0.43;-266;  21
4505; ;19.62;20.02; 0.40;-244;  21
4513; ;20.80;21.32; 0.52;-238;  21
4554; ;21.09;21.66; 0.58; 232;  21
4502; ;21.19;21.84; 0.66;-294;  21
4504;a;19.60;20.06; 0.46;-263;  20
4517; ;19.53;19.99; 0.46;-319;  20
4525; ;20.68;21.18; 0.50;-248;  20
4534; ;19.26;19.63; 0.37;-212;  20
4542;a;19.26;19.63; 0.37; 244;  20
4544;a;18.58;19.24; 0.66; 331;  20
4554;a;19.89;20.37; 0.47; 231;  20
4560; ;20.52;21.07; 0.55; 220;  20
4571; ;20.28;20.79; 0.52; 259;  20
4572; ;20.29;20.78; 0.49; 264;  20
4521; ;17.95;18.59; 0.64;-351;  20
4524; ;21.00;21.90; 0.90;-254;  20
4540;a;18.48;19.00; 0.52; 297;  20
4492;c;18.36;18.90; 0.55;-232;  19
4492;d;20.89;21.51; 0.62;-234;  19
4529; ;18.95;19.40; 0.45;-298;  19
4537; ;20.49;20.99; 0.50;-241;  19
4542;b;19.13;19.58; 0.45; 245;  19
4547; ;20.31;20.78; 0.47;-227;  19
4581; ;19.20;19.59; 0.39; 211;  19
4585; ;20.49;21.11; 0.62; 278;  19
4524;a;21.01;21.70; 0.68;-253;  19
4530; ;20.71;21.36; 0.65;-273;  19
4541; ;21.30;21.93; 0.63;-210;  19
4525;a;19.17;19.55; 0.37;-246;  18
4529;a;19.98;20.33; 0.36;-298;  18
4537;a;20.08;20.56; 0.47;-240;  18
4549; ;19.95;20.39; 0.44;-327;  18
4550; ;20.11;20.59; 0.48;-305;  18
4553; ;20.78;21.31; 0.53;-279;  18
4557; ;20.94;21.58; 0.64;-258;  18
4591; ;20.25;20.83; 0.57; 291;  18
4595; ;20.70;21.30; 0.60; 248;  18
4603; ;19.10;19.51; 0.40; 358;  18
4556; ;17.96;18.66; 0.70;-288;  18
4552; ;21.39;22.08; 0.69;-295;  18
4555; ;20.90;21.43; 0.52;-320;  18
4571;a;21.19;21.77; 0.58; 258;  18
4525;b;20.80;21.33; 0.52;-248;  17
4564; ;20.51;21.12; 0.61;-323;  17
4602; ;20.81;21.40; 0.59; 239;  17
4602;a;20.58;21.23; 0.64; 237;  17
4605; ;21.10;21.66; 0.56; 286;  17
4611; ;19.34;19.73; 0.40; 304;  17
4553;b;21.20;21.85; 0.65;-278;  17
4607; ;20.02;20.60; 0.58; 216;  17
4553;a;18.37;18.90; 0.54;-281;  16
4576; ;19.82;20.26; 0.43;-310;  16
4579; ;18.46;18.96; 0.50;-225;  16
4587; ;19.93;20.35; 0.42;-210;  16
4602;b;21.02;21.63; 0.62; 238;  16
4625; ;18.99;19.43; 0.44; 218;  16
4627; ;21.04;21.57; 0.53; 322;  16
4580; ;21.06;21.72; 0.66;-207;  16
4614; ;20.33;20.96; 0.62; 232;  16
4586; ;19.78;20.22; 0.44;-342;  15
4589; ;18.94;19.34; 0.40;-292;  15
4590; ;21.34;21.89; 0.54;-242;  15
4597; ;21.02;21.67; 0.65;-248;  15
4597;a;20.89;21.40; 0.51;-246;  15
4600; ;20.01;20.61; 0.60;-265;  15
4611;a;19.09;19.47; 0.38; 303;  15
4624; ;20.77;21.32; 0.55; 211;  15
4626; ;20.14;20.64; 0.50; 222;  15
4632; ;21.37;21.94; 0.57; 255;  15
4594; ;21.02;21.67; 0.65;-238;  15
4596; ;21.34;22.01; 0.67;-257;  15
4633; ;20.11;20.55; 0.44; 343;  15
4589;a;19.42;19.87; 0.45;-294;  14
4610; ;20.04;20.60; 0.56;-223;  14
4624;a;18.95;19.44; 0.48; 213;  14
4656; ;19.40;19.83; 0.43; 289;  14
4644; ;20.77;21.34; 0.57; 231;  14
4590;a;19.80;20.18; 0.38;-241;  13
4610;a;19.89;20.33; 0.44;-221;  13
4612; ;20.38;20.86; 0.48;-333;  13
4613; ;20.66;21.21; 0.55;-282;  13
4628; ;19.30;19.67; 0.38;-231;  13
4617; ;20.46;20.90; 0.44;-275;  13
4622; ;20.67;21.19; 0.52;-262;  13
4652; ;21.07;21.81; 0.75; 277;  13
4655; ;19.89;20.35; 0.46; 217;  13
4656;a;20.85;21.55; 0.70; 291;  13
4624;b;20.02;20.56; 0.54; 213;  12
4636; ;19.50;19.96; 0.46;-217;  12
4666; ;18.60;19.08; 0.48; 226;  12
4667; ;20.35;20.86; 0.51; 285;  12
4671; ;19.05;19.43; 0.38; 302;  12
4621;a;19.91;20.46; 0.55;-271;  12
4629; ;21.26;21.92; 0.67;-285;  12
4636;a;19.57;20.02; 0.45;-218;  12
4664; ;19.45;19.87; 0.42; 311;  12
4621;b;19.51;19.85; 0.34;-272;  11
4628;a;20.20;20.76; 0.56;-232;  11
4634; ;19.04;19.43; 0.39;-296;  11
4677; ;20.77;21.39; 0.62; 309;  11
4645; ;21.15;21.76; 0.61;-279;  11
4653; ;19.72;20.17; 0.44;-259;  10
4654; ;18.93;19.39; 0.45;-210;  10
4657; ;19.33;19.81; 0.48;-244;  10
4662;a;19.77;20.19; 0.41; 341;  10
4669;a;18.55;19.03; 0.48; 235;  10
4682; ;20.36;20.79; 0.44; 305;  10
4691; ;18.83;19.24; 0.41; 270;  10
4648; ;21.19;21.83; 0.64;-289;  10
4690; ;21.05;21.59; 0.55; 255;  10
4639;a;20.19;20.83; 0.63;-222;   9
4663; ;19.03;19.48; 0.45;-303;   9
4668; ;20.36;20.91; 0.55;-312;   9
4639;b;20.06;20.67; 0.61;-221;   9
4680; ;20.26;20.74; 0.48;-238;   8
4700;a;18.92;19.28; 0.35; 273;   8
4703; ;20.76;21.26; 0.49; 242;   8
4708; ;21.27;21.87; 0.60; 294;   8
4675; ;20.91;21.56; 0.65;-266;   8
4704; ;20.69;21.29; 0.60; 284;   8
4679; ;19.99;20.47; 0.48;-348;   7
4680;a;19.19;19.62; 0.43;-240;   7
4687; ;20.61;21.10; 0.49;-288;   7
4688; ;18.58;19.06; 0.48;-215;   7
4723; ;18.32;18.80; 0.48; 211;   7
4728; ;18.36;18.95; 0.59; 348;   7
4639;c;20.41;20.97; 0.56;-222;   7
4683; ;20.18;20.71; 0.53;-328;   7
4689; ;20.18;20.77; 0.58;-228;   7
4708;b;21.98;22.82; 0.84; 293;   7
4719; ;20.16;20.70; 0.55; 266;   7
4692; ;19.97;20.43; 0.46;-338;   6
4695; ;20.54;21.11; 0.57;-269;   6
4695;a;19.69;20.11; 0.42;-267;   6
4697; ;18.68;19.14; 0.46;-221;   6
4700;b;18.79;19.31; 0.51; 273;   6
4723;a;20.29;20.75; 0.45; 213;   6
4739; ;20.63;21.15; 0.52; 278;   6
4732; ;21.42;22.07; 0.66; 302;   6
4683;a;18.67;19.08; 0.41;-329;   5
4687;a;20.36;20.89; 0.52;-287;   5
4705; ;19.74;20.24; 0.50;-344;   5
4708;a;21.22;21.77; 0.55; 293;   5
4742;a;19.13;19.53; 0.40; 229;   5
4706;a;21.25;21.95; 0.70;-232;   5
4742; ;21.40;22.09; 0.69; 226;   5
4759;a;21.87;22.60; 0.73; 354;   5
4687;b;20.09;20.56; 0.47;-289;   4
4705;a;18.70;19.16; 0.46;-341;   4
4715; ;21.07;21.71; 0.64;-323;   4
4717; ;21.27;21.88; 0.60;-253;   4
4717;a;19.71;20.18; 0.47;-250;   4
4720; ;21.11;21.86; 0.74;-308;   4
4721; ;19.96;20.49; 0.52;-295;   4
4722; ;20.40;20.91; 0.51;-247;   4
4725; ;20.44;20.94; 0.50;-279;   4
4753; ;21.04;21.65; 0.61; 222;   4
4757; ;21.25;21.75; 0.50; 289;   4
4758; ;19.63;20.06; 0.43; 308;   4
4762; ;19.23;19.65; 0.42; 351;   4
4736;a;21.42;22.08; 0.65;-237;   4
4749;a;19.79;20.34; 0.55; 232;   4
4717;b;19.83;20.36; 0.53;-252;   3
4722;a;20.57;21.18; 0.61;-246;   3
4733; ;20.64;21.14; 0.50;-271;   3
4736; ;20.73;21.18; 0.45;-238;   3
4742;b;18.87;19.32; 0.45; 227;   3
4768; ;18.67;19.14; 0.48; 255;   3
4759; ;21.41;22.02; 0.61; 356;   3
4773; ;21.29;21.96; 0.67; 285;   3
4717;c;20.36;20.90; 0.54;-251;   2
4730;a;19.08;19.50; 0.42;-329;   2
4781; ;20.75;21.32; 0.57; 252;   2
4783; ;18.68;19.18; 0.50; 300;   2
4787; ;19.93;20.39; 0.46; 267;   2
4788; ;20.23;20.79; 0.56; 328;   2
4797; ;20.58;21.22; 0.64; 272;   2
4755; ;20.45;21.03; 0.59;-230;   2
4754; ;21.13;21.75; 0.62;-276;   1
4766; ;19.21;19.59; 0.38;-215;   1
4783;a;19.82;20.31; 0.49; 301;   1
4791; ;20.50;21.01; 0.51; 215;   1
4798; ;20.65;21.32; 0.67; 281;   1
4804; ;18.71;19.16; 0.44; 317;   1
4765; ;20.37;20.96; 0.60;-252;   1
4764; ;21.01;21.76; 0.74;-303;   0
4765;a;20.77;21.29; 0.52;-252;   0
4771; ;20.07;20.53; 0.46;-347;   0
4778; ;18.17;18.79; 0.63;-287;   0
4796;a;18.71;19.21; 0.50; 259;   0
4798;a;19.85;20.24; 0.40; 282;   0
4798;c;19.34;19.80; 0.46; 278;   0
4809; ;21.37;21.87; 0.50; 226;   0
4816; ;20.25;20.69; 0.44; 347;   0
4819; ;20.84;21.46; 0.62; 337;   0
4737;a;20.77;21.37; 0.61;-221;   0
4770; ;20.22;20.66; 0.44;-248;   0
4774; ;20.86;21.41; 0.54;-307;   0
4779; ;18.96;19.45; 0.50;-267;   0
4774;a;18.94;19.33; 0.40;-308;  -1
4777; ;20.60;21.12; 0.52;-337;  -1
4791;a;20.13;20.55; 0.43; 217;  -1
4798;b;19.10;19.41; 0.30; 279;  -1
4799; ;19.08;19.50; 0.41;-210;  -1
4822; ;19.69;20.13; 0.44; 265;  -1
4792; ;20.92;21.44; 0.52;-296;  -1
4795;a;20.77;21.27; 0.50; 231;  -1
4800; ;19.04;19.46; 0.42;-241;  -2
4827; ;20.21;20.79; 0.58; 254;  -2
4830; ;19.37;19.81; 0.44; 295;  -2
4841; ;21.00;21.51; 0.51; 323;  -2
4845; ;20.73;21.28; 0.55; 328;  -2
4800;a;20.64;21.15; 0.52;-242;  -2
4802; ;21.43;22.14; 0.71;-277;  -2
4806; ;21.25;21.84; 0.59;-300;  -2
4792;a;19.80;20.21; 0.41;-297;  -3
4805; ;20.49;20.99; 0.50;-329;  -3
4812; ;21.01;21.60; 0.59;-235;  -3
4813; ;20.74;21.28; 0.55;-306;  -3
4837; ;19.48;19.92; 0.44; 235;  -3
4844; ;18.83;19.27; 0.43; 212;  -3
4848; ;19.87;20.37; 0.50; 247;  -3
4820; ;20.80;21.40; 0.60;-217;  -3
4841;a;21.06;21.72; 0.67; 324;  -3
4827;a;19.10;19.50; 0.40; 254;  -4
4850; ;19.86;20.40; 0.54; 226;  -4
4858; ;18.67;19.12; 0.45; 231;  -4
4861; ;19.87;20.41; 0.54; 280;  -4
4868; ;18.76;19.19; 0.43; 309;  -4
4856;a;18.30;18.92; 0.62; 285;  -4
4805;a;20.68;21.21; 0.53;-331;  -5
4805;b;21.44;21.92; 0.48;-329;  -5
4820;b;20.31;20.75; 0.44;-216;  -5
4838; ;20.56;21.15; 0.59;-276;  -5
4839; ;19.38;19.87; 0.49;-231;  -5
4858;a;19.58;20.13; 0.55; 233;  -5
4866; ;18.28;18.90; 0.62; 271;  -5
4878; ;20.75;21.22; 0.46; 324;  -5
4820;c;19.03;19.42; 0.40;-214;  -5
4865; ;20.24;20.71; 0.47; 243;  -5
4877; ;20.44;21.06; 0.61; 301;  -5
4843; ;18.67;19.13; 0.46;-251;  -6
4846; ;19.34;19.75; 0.41;-322;  -6
4847; ;20.47;21.09; 0.62;-220;  -6
4866;a;19.51;20.00; 0.49; 270;  -6
4843;b;20.92;21.48; 0.56;-255;  -6
4883; ;21.31;22.01; 0.70; 275;  -6
4843;a;19.31;19.71; 0.40;-253;  -7
4846;a;19.76;20.18; 0.41;-321;  -7
4853; ;21.13;21.68; 0.54;-341;  -7
4863; ;19.97;20.48; 0.51;-225;  -7
4863;a;21.36;22.05; 0.69;-223;  -7
4864; ;20.62;21.25; 0.64;-235;  -7
4873; ;20.54;21.01; 0.47;-212;  -7
4889; ;19.63;20.00; 0.37; 258;  -7
4892; ;18.72;19.15; 0.42; 220;  -7
4895; ;19.56;20.00; 0.44; 316;  -7
4896; ;20.94;21.39; 0.45; 331;  -7
4896;a;20.06;20.58; 0.52; 332;  -7
4897; ;18.59;19.10; 0.51; 343;  -7
4906; ;19.75;20.18; 0.43; 354;  -7
4893; ;20.91;21.60; 0.69; 279;  -7
4839;a;19.14;19.59; 0.44;-229;  -8
4870; ;20.42;20.97; 0.55;-299;  -8
4874; ;20.90;21.50; 0.60;-313;  -8
4880; ;20.52;21.08; 0.56;-208;  -8
4902; ;20.00;20.60; 0.60; 212;  -8
4908; ;19.35;19.80; 0.45; 304;  -8
4893;a;21.19;21.87; 0.69; 279;  -8
4925; ;18.96;19.30; 0.34; 350;  -8
4864;a;20.70;21.23; 0.53;-235;  -9
4873;a;20.67;21.17; 0.49;-211;  -9
4880;a;21.41;21.81; 0.40;-207;  -9
4884; ;20.42;20.94; 0.52;-303;  -9
4902;a;20.17;20.66; 0.49; 213;  -9
4927; ;20.34;20.81; 0.47; 289;  -9
4936; ;18.77;19.24; 0.47; 336;  -9
4879; ;20.83;21.47; 0.64;-246;  -9
4886; ;20.41;20.98; 0.57;-218;  -9
4893;b;19.57;19.98; 0.42; 280; -10
4900; ;20.32;20.85; 0.53;-276; -10
4901; ;19.28;19.64; 0.36;-240; -10
4908;a;18.46;19.04; 0.58; 304; -10
4935; ;20.58;21.41; 0.82; 329; -10
4839;b;21.11;21.75; 0.64;-228; -10
4879; ;19.96;20.49; 0.53;-246; -10
4933; ;20.00;20.61; 0.61; 260; -10
4839;c;20.74;21.31; 0.57;-227; -11
4880;b;20.23;20.86; 0.62;-206; -11
4893;c;20.80;21.35; 0.55; 278; -11
4904; ;19.22;19.62; 0.40;-324; -11
4910; ;19.72;20.19; 0.47;-243; -11
4943; ;18.38;18.93; 0.55; 225; -11
4944; ;19.46;19.91; 0.46; 244; -11
4947; ;19.81;20.25; 0.43; 316; -11
4949; ;20.32;20.82; 0.49; 359; -11
4886;a;21.49;22.15; 0.67;-219; -11
4945; ;21.40;21.98; 0.59; 265; -11
4893;d;19.01;20.65; 1.64; 277; -12
4916; ;20.48;21.05; 0.57;-347; -12
4922; ;20.83;21.66; 0.83;-297; -12
4926; ;20.02;20.62; 0.59;-312; -12
4953; ;21.20;21.73; 0.53; 217; -12
4941; ;19.35;19.77; 0.42;-233; -13
4941;a;20.35;20.86; 0.51;-236; -13
4932; ;19.48;19.89; 0.42;-261; -13
4946; ;19.21;19.65; 0.45;-326; -14
4951; ;20.98;21.61; 0.63;-307; -14
4973; ;19.86;20.29; 0.43; 248; -14
4978; ;18.56;19.03; 0.47; 263; -14
4981; ;19.45;19.88; 0.43; 327; -14
4948; ;21.21;21.75; 0.55;-301; -14
4956; ;20.40;20.97; 0.57;-250; -14
4941;b;21.00;21.63; 0.63;-235; -15
4950; ;20.76;21.36; 0.60;-345; -15
4955; ;20.84;21.41; 0.57;-334; -15
4973;a;19.56;20.04; 0.48; 246; -15
4987; ;18.83;19.26; 0.43; 353; -15
4987;a;20.08;20.55; 0.48; 355; -15
4956;a;20.08;20.52; 0.44;-249; -15
4958; ;21.48;22.13; 0.65;-294; -15
4959;a;20.94;21.48; 0.55;-247; -15
4984; ;21.31;21.95; 0.64; 228; -15
4950;a;21.55;22.24; 0.69;-343; -16
4963; ;19.76;20.23; 0.47;-352; -16
4968; ;19.02;19.40; 0.38;-271; -16
4992; ;20.80;21.50; 0.70; 253; -16
4978;a;18.10;18.72; 0.62; 262; -16
4965; ;20.32;20.74; 0.42;-289; -16
4972; ;21.41;21.99; 0.59;-222; -16
4989; ;18.82;19.22; 0.40; 212; -16
4980; ;20.36;20.90; 0.55;-332; -17
4984;a;20.50;21.03; 0.53; 228; -17
5001; ;20.30;20.76; 0.46; 236; -17
5003; ;20.76;21.33; 0.56; 323; -17
4959;b;20.56;21.10; 0.54;-246; -17
4977; ;20.38;20.91; 0.54;-218; -17
5004; ;21.01;21.67; 0.66; 326; -17
5007; ;21.04;21.62; 0.58; 337; -17
4982; ;20.32;20.81; 0.50;-327; -18
4983; ;21.15;21.79; 0.64;-299; -18
4985; ;19.72;20.24; 0.52;-229; -18
5001;a;20.01;20.43; 0.42; 238; -18
5013; ;20.74;21.37; 0.62; 222; -18
5015; ;21.29;21.80; 0.51; 278; -18
5016; ;20.03;20.47; 0.44; 319; -18
5024; ;19.92;20.41; 0.49; 354; -18
5004;a;21.36;21.90; 0.54; 325; -18
4982;a;20.18;20.70; 0.52;-327; -19
4996; ;19.14;19.54; 0.40;-284; -19
4997; ;19.25;19.60; 0.35;-268; -19
5001;c;20.80;21.31; 0.51; 237; -19
5022; ;19.85;20.31; 0.46; 241; -19
5027; ;18.76;19.16; 0.41; 261; -19
5032; ;20.78;21.42; 0.65; 248; -19
4991; ;17.99;18.65; 0.66;-290; -19
4984;b;21.09;21.68; 0.59; 229; -19
4989;b;19.89;20.41; 0.51; 213; -19
5004;b;20.71;21.32; 0.61; 326; -19
4983;a;19.04;19.45; 0.41;-298; -20
4985;a;20.37;20.84; 0.46;-229; -20
5002; ;20.69;21.38; 0.70;-208; -20
5014;a;18.43;18.95; 0.52;-341; -20
5036; ;20.15;20.66; 0.51; 254; -20
4996;a;20.50;20.92; 0.41;-282; -21
5014; ;19.43;19.79; 0.36;-340; -21
5017; ;20.48;20.95; 0.47;-289; -21
5018; ;20.29;20.76; 0.47;-236; -21
5039; ;20.96;21.53; 0.57; 270; -21
5040; ;20.69;21.28; 0.60; 323; -21
5043; ;18.41;18.92; 0.50; 227; -21
5029; ;20.43;20.97; 0.54;-263; -22
5030; ;20.07;20.68; 0.60;-214; -22
5045; ;20.91;21.51; 0.59; 217; -22
5045;a;20.42;20.96; 0.53; 219; -22
5046; ;18.83;19.26; 0.43; 239; -22
5053; ;18.56;19.05; 0.49; 335; -22
5028; ;21.16;21.75; 0.58;-322; -22
5052; ;19.41;19.84; 0.43; 313; -22
5034; ;19.85;20.28; 0.43;-228; -23
5037;a;20.30;20.83; 0.53; 243; -23
5043;a;19.63;20.06; 0.43; 229; -23
5063; ;19.16;19.57; 0.41; 275; -23
5066; ;20.08;20.58; 0.51; 330; -23
5072; ;19.62;20.02; 0.39; 354; -23
5035; ;18.12;18.77; 0.65;-318; -23
5052;b;19.66;20.05; 0.40; 312; -23
5065; ;21.37;22.09; 0.72; 296; -23
5041; ;20.56;21.08; 0.52;-349; -24
5052;a;19.54;19.97; 0.43; 314; -24
5082; ;20.15;20.72; 0.57; 325; -24
5044; ;21.33;21.96; 0.63;-248; -24
5048; ;20.92;21.44; 0.52;-267; -24
5065;a;21.46;22.06; 0.60; 295; -24
5037;b;18.39;18.90; 0.52; 244; -25
5042;a;19.23;19.67; 0.44;-216; -25
5047; ;20.98;21.57; 0.59;-293; -25
5054; ;20.10;20.64; 0.55;-288; -25
5081; ;20.25;20.75; 0.50; 213; -25
5048;a;20.63;21.20; 0.57;-270; -25
5080;b;20.06;20.59; 0.53;-212; -25
5090; ;20.69;21.28; 0.58; 228; -25
5095; ;20.77;21.38; 0.61; 315; -25
5111;b;19.16;19.65; 0.49; 252; -25
5035;a;18.55;19.04; 0.49;-316; -26
5064; ;19.22;19.65; 0.43;-284; -26
5094; ;20.35;20.91; 0.56; 239; -26
5095;a;18.81;19.30; 0.50; 318; -26
5047;a;20.50;21.06; 0.56;-295; -27
5069; ;19.82;20.23; 0.41;-303; -27
5074; ;21.12;21.66; 0.53;-256; -27
5075; ;19.15;19.52; 0.38;-246; -27
5099; ;20.45;21.03; 0.58; 285; -27
5107; ;20.29;20.82; 0.53; 234; -27
5115; ;20.18;20.74; 0.56; 304; -27
5079; ;18.00;18.63; 0.63;-241; -27
5080; ;21.92;22.65; 0.73;-213; -27
5109; ;21.28;21.86; 0.58; 267; -27
5069;a;19.88;20.34; 0.46;-301; -28
5085; ;20.84;21.45; 0.61;-263; -28
5092; ;21.09;21.68; 0.59;-219; -28
5118; ;19.70;20.21; 0.51; 345; -28
5118;a;20.19;20.72; 0.53; 346; -28
5124; ;20.66;21.26; 0.61; 301; -28
5080;a;20.34;20.77; 0.43;-212; -28
5114; ;21.33;21.94; 0.61; 210; -28
5120; ;18.92;19.35; 0.44; 243; -28
5093; ;20.48;21.23; 0.75;-269; -29
5096; ;20.69;21.21; 0.51;-209; -29
5097; ;19.23;19.63; 0.40;-250; -29
5097;a;19.80;20.33; 0.54;-252; -29
5099;a;19.80;20.26; 0.46; 285; -29
5123; ;19.35;19.74; 0.39; 225; -29
5131; ;20.83;21.35; 0.52; 288; -29
5132; ;20.86;21.49; 0.64; 350; -29
5097;b;19.28;19.64; 0.36;-253; -30
5101; ;19.67;20.11; 0.45;-343; -30
5102; ;20.37;20.94; 0.57;-282; -30
5110; ;20.41;20.97; 0.56;-322; -30
5112; ;19.40;19.81; 0.41;-232; -30
5132;a;19.98;20.47; 0.49; 349; -30
5139; ;19.76;20.20; 0.44; 334; -30
5106; ;20.75;21.26; 0.51;-242; -30
5101;a;18.24;18.87; 0.62;-341; -31
5122; ;18.99;19.34; 0.35;-210; -31
5146; ;19.87;20.34; 0.46; 264; -31
5151; ;19.58;20.02; 0.44; 316; -31
5151;a;19.07;19.48; 0.41; 318; -31
5155; ;20.67;21.24; 0.57; 305; -31
5158; ;20.66;21.47; 0.81; 312; -31
5119; ;19.57;19.98; 0.42;-213; -31
5145; ;18.57;19.07; 0.50; 260; -31
5150; ;20.52;21.02; 0.50; 298; -31
5121; ;20.28;20.77; 0.49;-302; -32
5158;a;20.91;21.54; 0.62; 311; -32
5164; ;20.19;20.69; 0.49; 341; -32
5167; ;19.61;20.05; 0.44; 276; -32
5179;b;21.71;22.42; 0.71; 234; -32
5112;a;21.18;21.87; 0.69;-231; -32
5145;a;20.64;21.18; 0.54; 258; -32
5136; ;20.29;20.78; 0.49;-292; -33
5138; ;19.78;20.23; 0.45;-270; -33
5145;b;20.50;20.97; 0.47; 262; -33
5151;b;20.46;21.05; 0.59; 317; -33
5166; ;18.88;19.30; 0.42; 215; -33
5171; ;19.61;20.12; 0.50; 226; -33
5122;a;21.23;21.82; 0.59;-209; -33
5176; ;21.02;21.67; 0.65; 221; -33
5136;a;20.56;21.06; 0.49;-289; -34
5143; ;20.17;20.65; 0.48;-332; -34
5145;c;19.70;20.10; 0.40; 262; -34
5179; ;21.01;21.55; 0.54; 233; -34
5188; ;20.60;21.12; 0.51; 308; -34
5187; ;21.56;22.25; 0.69; 300; -34
5162; ;19.53;19.95; 0.41;-220; -35
5179;a;20.46;20.96; 0.51; 235; -35
5148; ;21.07;21.67; 0.61;-309; -35
5161; ;20.38;21.68; 1.30;-223; -35
5165; ;21.47;22.20; 0.73;-227; -35
5168; ;21.09;21.60; 0.50;-278; -35
5204;a;21.52;22.23; 0.71; 284; -35
5148;a;18.50;19.03; 0.53;-311; -36
5169; ;20.43;21.04; 0.61;-258; -36
5177; ;21.22;21.91; 0.69;-267; -36
5195; ;20.61;21.11; 0.49; 209; -36
5204; ;20.61;21.09; 0.48; 285; -36
5175; ;20.56;21.15; 0.59;-255; -36
5180; ;19.89;20.34; 0.45;-337; -37
5183; ;18.88;19.30; 0.42;-208; -37
5203;a;20.07;20.55; 0.48; 223; -37
5211; ;18.25;18.91; 0.67; 323; -37
5214; ;20.69;21.20; 0.51; 256; -37
5217; ;19.82;20.28; 0.46; 292; -37
5161;a;20.71;21.23; 0.52;-223; -37
5168;a;20.93;21.40; 0.47;-276; -37
5177;a;21.33;22.05; 0.71;-267; -38
5189; ;20.04;20.48; 0.44;-247; -38
5198; ;20.57;21.19; 0.62;-218; -38
5226; ;20.80;21.49; 0.68; 267; -38
5228; ;18.63;19.08; 0.45; 247; -38
5189;a;20.72;21.35; 0.63;-248; -38
5191; ;21.12;21.76; 0.64;-244; -38
5223; ;21.07;21.63; 0.56; 250; -38
5223;a;21.32;21.97; 0.65; 253; -38
5178;a;19.58;19.96; 0.38;-230; -39
5211;a;18.88;19.25; 0.37; 320; -39
5226;a;20.88;21.37; 0.49; 265; -39
5232; ;19.71;20.19; 0.47; 260; -39
5241; ;21.29;21.94; 0.65; 274; -39
5191;a;18.36;18.94; 0.58;-242; -39
5191;b;18.31;18.89; 0.58;-241; -40
5205; ;20.56;21.07; 0.52;-270; -40
5208; ;21.04;21.68; 0.65;-349; -40
5209; ;20.58;21.16; 0.58;-236; -40
5221; ;19.88;20.33; 0.45;-225; -40
5249; ;19.99;20.44; 0.45; 211; -40
5251; ;19.95;20.48; 0.53; 216; -40
5254; ;19.53;20.04; 0.51; 232; -40
5255; ;18.80;19.22; 0.42; 240; -40
5261; ;20.78;21.34; 0.56; 293; -40
5236;a;20.57;21.03; 0.47; 243; -40
5243;a;19.80;20.32; 0.52; 338; -40
5213;a;18.57;19.05; 0.48;-213; -41
5218; ;21.21;21.83; 0.62;-339; -41
5219; ;20.58;21.13; 0.56;-280; -41
5220;b;20.66;21.20; 0.54;-254; -41
5224; ;20.77;21.43; 0.66;-311; -41
5227; ;20.52;21.03; 0.51;-260; -41
5198;a;20.54;21.07; 0.54;-218; -41
